Feature,Mean |SHAP|
cat__country_ATA,0.0
cat__country_ARM,0.0
cat__country_BFA,0.0
cat__country_BHS,0.0
cat__country_BIH,0.0
cat__country_AIA,0.0
cat__country_ALB,0.0
cat__country_CMR,0.0
cat__country_CN,0.0
cat__country_CIV,0.0
cat__country_CZE,0.0
cat__country_CYP,0.0
cat__country_CYM,0.0
cat__country_DOM,0.0
cat__country_DMA,0.0
cat__country_DJI,0.0
cat__country_DZA,0.0
cat__country_EGY,0.0
cat__country_EST,0.0
cat__country_ETH,0.0
cat__country_FJI,0.0
cat__country_KHM,0.0
cat__country_KAZ,0.0
cat__country_JAM,0.0
cat__country_JOR,0.0
cat__country_IND,0.0
cat__country_SMR,0.0
cat__country_SDN,0.0
cat__country_SLV,0.0
cat__country_SUR,0.0
cat__country_SVK,0.0
cat__country_SRB,0.0
cat__country_STP,0.0
cat__country_PER,0.0
cat__country_PYF,0.0
cat__country_PRI,0.0
cat__country_LAO,0.0
cat__country_MDG,0.0
cat__country_MCO,0.0
cat__country_MEX,0.0
cat__country_MKD,0.0
cat__country_MMR,0.0
cat__country_MNE,0.0
cat__country_MLI,0.0
cat__country_MLT,0.0
cat__country_MRT,0.0
cat__country_MOZ,0.0
cat__country_MUS,0.0
cat__country_MWI,0.0
cat__country_MYT,0.0
cat__country_MYS,0.0
cat__country_NCL,0.0
cat__country_NIC,0.0
cat__country_LBN,0.0
cat__country_KNA,0.0
cat__country_LTU,0.0
cat__country_LVA,0.0
cat__country_LIE,0.0
cat__country_LBY,0.0
cat__country_LKA,0.0
cat__country_SLE,0.0
cat__country_RWA,0.0
cat__country_PLW,0.0
cat__country_NOR,0.0
cat__country_NPL,0.0
cat__country_UGA,0.0
cat__country_SYR,0.0
cat__country_TGO,0.0
cat__country_SYC,0.0
cat__market_segment_Undefined,0.0
cat__country_VGB,0.0
cat__country_ZWE,0.0
cat__market_segment_Complementary,0.0
cat__country_VNM,0.0
cat__country_TWN,0.0
cat__country_URY,0.0
cat__country_UZB,0.0
cat__assigned_room_type_C,0.0
cat__reserved_room_type_L,0.0
cat__reserved_room_type_H,0.0
cat__reserved_room_type_C,0.0
cat__assigned_room_type_L,0.0
cat__assigned_room_type_H,0.0
cat__deposit_type_Refundable,0.0
cat__customer_type_Group,0.0
