Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
1,CatBoost,0.8772510260490828,0.8604339346660166,0.7980780101752403,0.8280837585782157,0.9502727389605313
2,ANN,0.8711366111064578,0.8534313725490196,0.7873374788015828,0.819053219641282,0.9439987520200989
3,Random Forest,0.8698802244744116,0.9071813795061028,0.7226681741096664,0.8044805235667988,0.9496040235882792
4,KNN,0.8352877125387386,0.7854486285448629,0.7640474844544941,0.7746002636254227,0.9002346524098839
5,Logistic Regression,0.819457240974956,0.8130350731842032,0.6656868287167892,0.7320196431901536,0.8961824818262081
